Jun 30 (Fr) 12:01 | === Logging started
Jun 30 (Fr) 12:01 | === Logging stopped
Jun 30 (Fr) 12:12 | === Logging started
Jun 30 (Fr) 12:12 | >>> Station: Παλμός Κεφαλλονιάς 98.3
Jun 30 (Fr) 12:25 | >>> Station: Ράδιο Θεσσαλονίκη 94.5
Jun 30 (Fr) 12:33 | === Logging stopped
Jun 30 (Fr) 12:33 | === Logging stopped
Jun 30 (Fr) 12:38 | === Logging started
Jun 30 (Fr) 12:38 | >>> Station: Bayern 3
Jun 30 (Fr) 12:38 |     Mit Stefan Kreutzer
Jun 30 (Fr) 12:38 |     Update
Jun 30 (Fr) 12:38 |     Mit Stefan Kreutzer
Jun 30 (Fr) 12:39 |     Studio-Hotline: 0800 / 800 3 800 (kostenfrei)
Jun 30 (Fr) 12:39 |     Besucht uns auf Facebook und Instagram
Jun 30 (Fr) 12:39 |     Update
Jun 30 (Fr) 12:40 |     Mit Stefan Kreutzer
Jun 30 (Fr) 12:40 |     Alessia Cara: Scars to your beautiful
Jun 30 (Fr) 12:42 |     Update
Jun 30 (Fr) 12:42 |     Mit Stefan Kreutzer
Jun 30 (Fr) 12:43 |     Alessia Cara: Scars to your beautiful
Jun 30 (Fr) 12:44 |     Studio-Hotline: 0800 / 800 3 800 (kostenfrei)
Jun 30 (Fr) 12:44 |     Besucht uns auf Facebook und Instagram
Jun 30 (Fr) 12:45 |     Update
Jun 30 (Fr) 12:45 |     Mit Stefan Kreutzer
Jun 30 (Fr) 12:46 |     Internet: www.bayern3.de
Jun 30 (Fr) 12:46 |     Update
Jun 30 (Fr) 12:46 |     Mit Stefan Kreutzer
Jun 30 (Fr) 12:46 |     Studio-Hotline: 0800 / 800 3 800 (kostenfrei)
Jun 30 (Fr) 12:47 |     Besucht uns auf Facebook und Instagram
Jun 30 (Fr) 12:47 | >>> Station: Παλμός Κεφαλλονιάς 98.3
Jun 30 (Fr) 12:52 | >>> Station: Bayern 3
Jun 30 (Fr) 12:52 |     Mit Stefan Kreutzer
Jun 30 (Fr) 12:52 |     Internet: www.bayern3.de
Jun 30 (Fr) 12:53 |     OneRepublic: Runaway
Jun 30 (Fr) 12:54 |     Update
Jun 30 (Fr) 12:54 | === Logging stopped
Jun 30 (Fr) 12:55 | === Logging started
Jun 30 (Fr) 12:55 | >>> Station: Bayern 3
Jun 30 (Fr) 12:55 |     Update
Jun 30 (Fr) 12:55 |     Mit Stefan Kreutzer
Jun 30 (Fr) 12:55 |     Shakira: Whenever wherever
